"","libro","autore","data","recensione","stelle"
"1","157996.Flight_to_Arras","Ahmad Sharabiani","Jul 03, 2021","Pilote de Guerre = Flight to Arras, Antoine de Saint-ExupéryFlight to Arras is a memoir by French author Antoine de Saint-Exupéry (Born: June 29, 1900, Lyon, France - Died: July 31, 1944, Mediterranean Sea) Written in 1942, it recounts his role in the French Air Force as pilot of a reconnaissance plane during the Battle of France in 1940.The book condenses months of flights into a single terrifying mission over the town of Arras. Saint-Exupéry was assigned to Reconnaissance Group II/33 flying the twin-engine Bloch MB.170. At the start of the war there were only fifty reconnaissance crews, of which twenty-three were in his unit. Within the first few days of the German invasion of France in May 1940, seventeen of the II/33 crews were sacrificed recklessly, he writes ""like glasses of water thrown onto a forest fire"".عنوانهای چاپ شده در ایران: «خلبان جنگ»؛ «خلبان جنگی»؛ تاریخ نخستین خوانش سال 1971میلادیعنوان: خ‍ل‍ب‍ان‌ ج‍ن‍گ‌؛ ن‍ویسنده‌ آنتوان دو س‍ن‍ت‌ اگ‍زوپ‍ری‌؛ مت‍رج‍م اق‍دس‌ ی‍غ‍م‍ای‍ی‌؛ ‏‫ت‍ه‍ران‌‬‏‫: امیرکبیر، کتاب‌های جیبی‬‏‫‏‏، 1349؛ در 251ص؛ چاپ دوم 1356؛ چاپ چهارم 1392؛ شابک 9789640013946؛ چاپ دیگر تهران، نیلوفر 1382؛ در 227ص؛ شابک 9644482225؛ چاپ چهارم 1392؛ چاپ دیگر علمی فرهنگی؛ سال 1394؛ در بیست و دو و 248ص؛ شابک 9786001216381؛ موضوع داستانهای جنگ از نویسندگان فرانسه - سده 20معنوان: خلبان جنگ؛ آنتوان‌ دو سنت‌ اگزوپری؛ برگردان از پرویز شهدی؛ تهران، نشر به سخن، 1393؛ در 200ص؛ شابک 9786009412631؛ چاپ دوم 1394؛ چاپ سوم 1395؛عنوان: خلبان جنگی‏‫؛ نویسنده آنتوان‌ دو سنت‌ اگزوپری‬؛ مترجم سید‌مهدی قریشی؛ ناظر ویراستار سید‌ابراهیم آخوندی؛ ویراستار نصیر پورعلی؛ تهران، نشر پشتیبان، 1396؛ در 323ص؛ شابک 9786008794332؛کتاب «خلبان جنگ» یادمانهایی از نویسنده ی «فرانسوی» کتاب «شازده کوچولو»، «آنتوان دو سنت‌اگزوپری» است؛ ایشان این یادمانها را در سال1942میلادی بنگاشته اند، و در آنها به نقش خویش در نیروی هوایی «فرانسه»، به عنوان خلبان هواپیمای شناسایی در نبرد «فرانسه»، با «آلمان» در سال 1940میلادی، پرداخته اند؛ «آنتوان دو سنت‌اگزوپری» در این کتاب، تجربه ی ماه‌ها پرواز خویشتن را، در شرح یک مأموریت هراس‌آور، بر فراز شهر «آراس (فرانسه)» بازگو می‌کنند؛ ایشان در گروه شناسایی، با هواپیمای دوموتوره ی «پوتز 630» خدمت می‌کردند؛ «فرانسه» در آغاز جنگ دوم، تنها پنجاه خلبان شناسایی داشت، که بیست و سه تن از آنها، در گروه ایشان بودند؛ در چند روز نخست از یورش «آلمان» به «فرانسه»، در ماه مه سال 1940میلادی، هفده تن از یگان ایشان (به نوشته خودش: «همانند لیوان‌های آبی که بر آتش جنگل بریزند») جان خود را از دست دادند؛آنتوان دوسنت اگزوپری، «شاعر پرنده»، در «لیون فرانسه» در سال 1900میلادی زاده شدند، و جهان نگارش را نور باران کردند، ایشان به عنوان یک خلبان بیست و شش ساله، پیشگام هواپیمایی تبلیغاتی بودند، و در «جنگ داخلی اسپانیا»، و «جنگ جهانی دوم» پرواز داشتند؛ نوشته های ایشان «شازده کوچولو»، «باد»، «شن و ستاره ها»، «پرواز شبانه»، «پست جنوبی» و «اودیسه خلبان» هستند، ایشان در سال 1944میلادی، در حین پرواز، و در یک ماموریت شناسایی برای «گروه هواپیمایی فرانسوی» خویش، بر فراز «مدیترانه» ناپدید، و باز هم «پرنس کوچولویی» شدند و پیش همان گل یگانه ی خویش ره بگشودند ؛ روانش هماره شادتاریخ بهنگام رسانی 13/04/1400هجری خورشیدی؛ ا. شربیانی","really liked it"
"2","157996.Flight_to_Arras","Ian","Feb 22, 2022","I got interested in this book after it was mentioned in another book I recently read – Victoire by Roland Philipps. Up to then I had only heard of Saint-Exupéry as the author of The Little Prince.In the early stages of WW2 Saint-Exupéry was a reconnaissance pilot with the French Air Force, in an aircraft that also carried an observer and a tail gunner. Undertaking missions on their own, these planes were easy targets for enemy fighters and had a horrifying casualty rate.The fighters come down on you like lightning. Having spotted you from fifteen hundred feet above you, they take their time. They weave, they orient themselves, take careful aim. You know nothing of this. You are the mouse lying in the shadow of the bird of prey. The mouse fancies that it is alive. It goes on frisking in the wheat. But already it is the prisoner of the retina of the hawk, glued tighter to that retina than to any glue, for the hawk will never leave it now.This book is centred around a single mission in May 1940, when Saint-Exupéry was asked to fly a near-suicidal low-level sortie to photograph German Army positions around the town of Arras. By this time it was clear that French resistance to the invasion had all but collapsed. Saint-Exupéry initially regards his mission as an absurdity.We knew perfectly well that they would never be able to make use of our intelligence—luckily. It might be brought back by us; but it would never be transmitted to the Staff. The roads would be jammed. The telephone lines would be cut. The Staff would have moved in a hurry. The really important intelligence—the enemy’s position—would have been furnished by the enemy himself.Although the mission is described in detail, this is actually a deeply introspective and philosophical book, in which Saint-Exupéry considers the motivations of men in these extreme circumstances. Despite his private misgivings, he accepts his orders without demur.And now once again, like every other soldier of the Group, I have taken off in the face of every good reason, every obvious argument, every intellectual reflex.Saint-Exupéry survives this particular mission, although he was killed later in the war serving with the Free French Air Force. That fact lends even more poignancy to this account. This mission also has a profound effect on him, and after his return it crystallizes his philosophy.This is without doubt the most unusual war memoir I’ve read. I found it quite compelling, and wondered throughout what conclusions Saint-Exupéry would eventually come to. It’s very short, 156 pages in the edition I read, although I personally had to read the last 20-30 pages slowly and carefully to try and follow Saint-Exupéry’s arguments. The very last paragraph was supremely eloquent. ","really liked it"
"3","157996.Flight_to_Arras","Marc","Nov 25, 2021","I had already read some of Saint-Exupéry's earlier works and was charmed by his typical combination of action and reflection: both ‘Vol de Nuit’ (1931Night Flight) and ‘Terre des Hommes’ (1939, Wind, Sand and Stars) offer unique insights into how modern man through machines ( in this case always airplanes) is confronted with the essence of existence. Still, those two works didn't really captivate me: they got a little stuck in non-committal reflections, even if they floated on the adrenaline of a man forced to the limit in the battle with the elements. Of course, the intense experience this book, 'Pilote de Guerre' (1942, literally 'War pilote'), offers, is even more extreme. Because Saint-Exupéry here describes a hallucinatory reconnaissance mission over occupied France in May 1940. The author-pilot already knows at that moment that the war is lost for France, that his mission is pointless, and that he can only have a minimal chance to survive the low flight over the German positions around the city of Arras.Well, this time I wàs captivated by the book. Perhaps this was because the author literally takes us inside the mind of the pilot de Saint-Exupéry who is trying to come to terms with the question of why France, himself and his crew are willingly being slaughtered. And here he does it again through a combination of action scenes (steering his reluctant machine, a dizzying journey across the German barrage, a real hell-flight), of observations (of his taciturn crew, of the refugee flows, the advancing German tanks, and the land and sky seen from high altitude) and of contemplation (thoughts of killed and wounded colleagues, childhood memories, and above all musings about existence, man, sacrifice, love…).So, in itself these elements don't really diff from those in his previous novels, but Saint-Exupéry here presents it all a bit more sharply, more focused. Perhaps the intensity of this journey through hell is not alien to this. Or is it the cocktail of jest, resignation, cynicism, sarcasm and vitalism that does it? What is particularly striking is that the main character, the pilot de Saint-Exupéry, undergoes a remarkable, philosophical evolution during this death flight. Where in the beginning he still takes a rather idealistic point of view (""the real space does not exist for the eye, it is only given to the mind. And that space is worth as much as language is worth, because language connects things""), the near-death experience over Arras opens him to the view that it is the ‘substance’, the body, that makes all human experience possible (""I certainly do not want to downplay the intellect, nor the victories of consciousness. I admire clear thinkers. But what is a man without substance? A man who is a look but not a being?""). This turn is not just a fall into flat materialism, because Saint-Exupéry appears to regard man above all as a junction of relations, and thus also of the principles of solidarity, the collective and the universal, which enables him to forge a link with the sense of sacrifice. And that brings us back to the starting point: the explanation why France seems willinngly to undergo the defeat in May 1940.Certainly at the end of this novel, de Saint-Exupéry does not shy away from big words, in an emphatically pronounced confession of faith that founds humanism on a new, non-religious basis. Those final pages may seem a bit solemn, after the action scenes that preceded. Perhaps that is why he wrote the disarmingly simple ‘Le Petit Prince' (1943, The Little Prince) shortly after this novel, only to disappear in circumstances that still have not been clarified. To me this 'Flight to Arras' is his real spiritual testament.","really liked it"
"4","157996.Flight_to_Arras","Manny","May 15, 2022","In the final stages of the German invasion of France in 1940, Antoine de Saint-Exupéry is sent out on a reconnaissance mission over occupied territory. It's almost certain suicide, and the information he might bring back will be of no use to anyone: the war is lost, nothing works anymore. But he accepts unhesitatingly. Somewhere over Arras, with anti-aircraft fire bracketing him on all sides, aware that he is probably a few seconds from death, he has a mystical insight. He is no longer afraid, he has done the right thing. By willingly offering his life, he is truly part of his little band of aviators, of the French military, of his country, of mankind. He knows with complete certainty that he could not have learned this lesson in any other way. Miraculously, he returns unscathed to base. He has been granted a couple more years to write this book and the much more famous Le petit prince. And he is, indeed, immortal. As long as our civilization endures, people will read him.I wonder if there are people in Mariupol right now having similar experiences.","really liked it"
"5","157996.Flight_to_Arras","Rob","Jun 20, 2010","As a kid growing up in a safe suburb of a safe country at a safe time I really did not think about things all that much.I picked up and read this book because it was about flying and WW11 both topics I was fascinated by.But this book, while I have trouble remembering the specifics, let me know that people have an inner life that is complex and compelling. That one can be brave physically and spiritually. Saint-Exupery is thinking about why the hell he is on a near suicide mission with little prospect of success or really any point at all because his country is near collapse. He does not hate Germans. He does not think France is beyond reproach. But he does know that he must continue to fight because this is a larger war than one of nations. It has a moral dimension that demands that he and his country men can not shirk.","it was amazing"
"6","157996.Flight_to_Arras","Philippe","Nov 25, 2016","Late in May 1940, Saint-Exupéry, then a 40-year old fighter pilot in the decimated French air force, flew a suicide mission in a reconnaissance plane. Against all the odds the crew returns in one piece. But in the crucible above the northern French city of Arras, something happens. Saint-Ex returns as a changed man. His despondency and scepticism about the war effort had been sublimated into a deep understanding of his position in this conflict. The final chapters of the book take the form of a manifesto in which the author clarifies this stance. The pivotal gesture is Saint-Exupéry's commitment to love. That commitment is understood as one's investment into 'a web of relationships that makes people grow'. (I am relying here on my own rendering of the author's very straightforward ""un réseau de liens qui fait devenir"", rather than Lewis Galantière's more flowery but less precise ""a web woven of strands in which we are fulfilled"". The 1986 English translation in the Harcourt edition is on the whole not recommended. The 2016 Dutch translation by Nele Ysebaert in the Van Oorschot edition is excellent). For me, this is a very rich and satisfying conception of love and one that is echoed by both ancient and contemporary traditions of wisdom. This commitment to love is not the result of a rational decision but an existential(ist) leap. Saint-Ex rails against the excessive power of rationality (""l'intelligence"") in our culture. It atrophies our 'substance', our creative potential. Rational analysis is unable to bring a future into being: ""What should we do? Perhaps this. Or something else. The future cannot be determined. But what should one be? That is the essential question, as only the spirit can fertilise the rational. The spirit renders intelligence pregnant with emergence, and only then will intelligence bring the new into being. What does a man have to do to build the very first ship? It's too hard to figure out in advance. The vessel may eventually emerge from thousands of contradictory trials. But what does that person have to be? Here I'm taking by the root the potential to bring to life something new. That person ought to be a soldier or a tradesman, whose longing for faraway lands will inspire the engineers and mobilise the workers to launch, one day, his ship."" (my own translation)Saint-Exupéry elaborates a range of evocative metaphors to summon the power of man's desire. From the cockpit of his reconnaissance plane, he witnesses how German armoured units percolate through French lines like water. They keep up the pressure against the wall of the adversary and progress only there where they meet no resistance. There are always gaps. The tanks always get through. A similar force imbues the seed of grain, or a tree. It will take time, but it always finds a way to blossom. ""Defeat ... Victory ... Words I do not know what to make of. One victory exalts, another corrupts. One defeat kills, another rouses. Life does not express itself in situations but in how you deal with them. The only victory I cannot doubt is the one that is lodged in the energy of the seed. Its victory is certain from the moment it is sowed into the black earth. But it takes time to witness the triumph of the power in the grain."" (Galantière translation, with modifications)Our civilisation has abdicated its ability to build cathedrals. Instead, we are content just renting out chairs under its lofty vaults. Humanism has led us astray. It has tried to rationalise our shared project into a set of rules, a codified set of ethical principles. But that is no surrogate for the commitment to love, for the deed, indeed the sacrifice that nourishes it and brings it into being. We do not invest ourselves anymore. We have turned into bean counters and lawyers. ""We ceased to give. Obviously, if I insist upon giving only to myself, I shall receive nothing. I shall be building nothing of which I am to form part, and therefore I shall be nothing."" (Galantière translation)This book resonated more than I expected. The narration of the suicide mission is spellbinding and not without literary merits. The concluding chapters may strike one as old-fashioned and quaint, but I personally am quite ready to buy into the author's foundational intuition that there is no higher purpose in life than to contribute, in one's own sphere of influence, to an environment where people, one's brothers and sisters, may find their purpose and flourish. ","really liked it"
"7","157996.Flight_to_Arras","Tifnie","Nov 05, 2008","I have to admitt, I couldn't wait to finish reading this book. Although the concept of this book is interested, the author and main character lost my interested when he started trailing off.Flight to Arras is about a pilot, Antoine de Saint-Exupery, and his crew on a single reconnaissance mission durning WWII. He writes about a young soldiers thoughts about receiving a mission from his caption knowing that he and his crew will not survive and accepting this mission knowing his fate. Sounds good? Indeed it does, durning this mission he questions not only this very mission he is on, but his faith, the responsibility of man, the origin of man, and ultimately God himself. However, the author goes a little overboard with his inner-thoughts and really loses the reader. At least it did me.","liked it"
"8","157996.Flight_to_Arras","Lenny Husen","Sep 22, 2017","This is such a great book. It is the one I would take with me if I were going off to war or facing certain death. Autobiographical, describes 24 hours in the life of Fighter Pilot Antoine de Saint Exupéry in France in 1940-all his thoughts, memories and feelings before, during and after flying a suicide mission.The theme is ""All for One and One for All"" and The Brotherhood of Soldiers.Who should read it: Fans of The Little Prince and those interested in WWII and Aviation. Belongs on a shelf next to Man's Search for Meaning and The Consolation of Philosophy and American Sniper. Why only 4 stars? I loved the narrative but Philosophical Discourse is very hard for me to understand and makes my head hurt. The whole time I read this, I thought about his death, shot down on a mission 1944, which makes this story very poignant. ","really liked it"
"9","157996.Flight_to_Arras","Јована","Mar 24, 2020","This book was a 3 star read that slowly but surely progressed to a 5 star read. I feel bad that it took me so long to actually appreciate it in its full glory, but I guess that’s just how it is with some books. They take time to sink in. Now, since I like to think I’m actually cool because I read the same book twice in two different languages, here is what I like most from the English translation;**Disclaimer; This is not a review of the book per se but rather quotes I really liked. Not all of them require context but for some, the context is important so if they look like random passages – that is the reason behind it.**Warning; Spoilers ahead.Flight to Arras – Antoine De Saint-ExupéryChapter XII, page 60; “I have aged so much that all that was is left behind me.”Chapter XIII, page 79; “What could the men who governed us know of the war?”Chapter XV, page 88; “Life always bursts the boundaries of formulas. Defeat may prove to have been the only path to resurrection, despite its ugliness. I take it for granted that to create a tree I condemn a seed to rot.”Chapter XVI, page 89; “After all, it is we ourselves who call this a funny war. Why not? I should image that no one would deny us the right to call it that if we please, since it is we who are sacrificing ourselves, not those who think our epithet immoral. Surely I have the right to joke about my death if joking about it gives me pleasure.”Chapter XVII; Throughout the whole chapter he talks to Paula, bouncing between his internal monologue directed at her and the current happenings as they fly to Arras. The whole chapter breaks my heart every time I read it. It is both absolutely beautiful and sickeningly saddening. Masterfully crafted and I believe that this was one of the more influential things in the book that made me change my mind about my initial rating.Chapter XXIII, page 135; “The kind of truth advanced in verbal bickerings can no longer satisfy me.”Chapter XXIII, page 151; “When I took off for Arras I asked before giving. My demand was in vain. We must give before we can receive, and build before we may inhabit. By my gift of blood over Arras I created the love that I feel for my kind as the mother creates the breast by the gift of her milk. Therein resides the mystery. To create love, we must begin by sacrifice. Afterwards, love will demand further sacrifices and ensure us every victory. But it is we who must take the first step. We must be born before we can exist.”Ах, да, мојот чатал нема граници. Ова се белешките и цитатите што ми оставија впечаток од македонската верзија. Искрено, преводот беше ТОЛКУ добар што мислам да можев цела книга ќе ја цитирав. Затоа уствари имам толку повеќе напишано тука.**Предупредување; И тука има spoilers.Воен Пилот – Антоан Де Сент Егзипери** Го отелотворува концептот на занесот при војна, како чувства се нешто за кое нема време од сета лавина од проблеми а и воедно од самиот тој “занес“ се менува и концептот на нештата. Во смисла на, толку си вдаден во размислувањата за воени стратегии и обврски што човечкиот дел од себе се замаглува. Не се веќе луѓе туку збир од нешта. Едно нешто што во суштина си го разложил на повеќе нешта прави полесно да е “справувањето“ со него и што и да му се случи. Го отуѓуваш од чувствата и од комплексноста што ја има. Не е човечко и чувствително туку предметно.„Во општата збрканост на поставените проблеми, во општото пропаѓање, ние сме и самите поделени на парчиња. Оној глас. Оној нос. Онаа навика. А парчињата не возбудуваат.“ (страна 21)Признавајќи дека и тој мисли само на детали а не на големата слика – прави токму совршена транзиција на реченицата. Во пасус во кој детално се објаснува за тоа како сè е хаос ама никој не го гледа, објективната анализа на сериозниот проблем е прекината од прашањето ‘каде се неговите проклети ракавици?’**Го има доловено моментот кога телото/мозокот си бара shut down од премногу анксиозност и исчекување. Фантазира за полесно заминување – како на пример да се расипе нешто во авионот за поскоро да умрат. Буквално си бара излез од агонијата на неизвесноста.Страна 38, 39; „Треба... треба... би сакал сепак да ми се исплати навреме. Би сакал да имам право на љубовта. Би сакал да знам за кого умирам...“ Ако ова не те прави да се осеќаш понизно и како твоите проблеми и опкружувања да се благи и подносливи – не знам што.Страна 48; „Се фрлаа онака, на среќа, мостови преку бездна, како што би постапиле кога би сакале да навлеземе во мракот на глувонем слепец на кој би сакале да му помогнеме.“Страна 54; „Недостапни како некоја убава жена, ние ја следиме својата судбина влечејќи го полека нашиот фустан чијшто опаш е исткаен од ледени ѕвездички.“Страна 54; „Еве ја стварноста. Но јас се враќам кон мојата евтина поезија. Овој вираж ќе предизвика вираж на цело едно небо од несреќни љубовници.“Цела глава XI. Цела. „Телото е твое ама не е.“ (страна 56, 57, 58, 59)Страна 64; „Срцето е многу нежна работа. А треба да служи долго време. Бесмислено е да го изложуваме на опасност поради вакви груби работи. Тоа е како да сакаме да запалиме дијаманти за да свариме еден компир.“Страна 77; „Колку вредиме ние кога ќе станеме еднаш неподвижни?“Страна 93; „Ви давам седум букви. Тоа се седум букви од Библијата. Составете ја со нив повторно Библијата.“Страна 101; „Што има срамно во тоа да се има земја која дава повеќе жито одошто машини? Зошто срамот да падне врз нас а не врз сиот свет?“Страна 109; „Чудно е како животот одеднаш се собрал. Го стокмив мојот багаж од спомени. Никогаш тој нема да служи за нешто. Ниту пак за некој.“Страните 110, 111, 112 и 113 цели. Кога ѝ збори на Паула. Никогаш нема да прекине да ми биде тажно.Цела глава XXII.Страна 142; „Ноќта ги лулка во вечноста. Кога иде времето за вечера, групата ги брои своите мртви. Оние што исчезнале стануваат поубави во сеќевањето. Нив секогаш ги облекуваме во нивната насветла насмевка.“Страна 142; „Некогаш многу малку ги ценев возрасните. Грешев. Човек никогаш не старее.“Страна 146; „Единствената победа во која не можам да се сомневам е победата што се крие во силата на зрното. Фрлете го зрното ширум црната земја и тоа ќе стане победник. Но треба да измине прилично време за да го видиме неговиот триумф во зрелото жито.“**Зборови што ми напраија кејф; адути=доблести, окно, жедувам = to thirst for, клатно = pendulum, безредие, „не се беспокојам“, самољубие, оживотворува, овенчан = со венец на глава.Цела книга во два збора; Sad and humbling.","it was amazing"
"10","157996.Flight_to_Arras","Alex","Jul 18, 2020","'Flight to Arras' numbers among the best books I've read this year.Antoine de Saint-Exupéry (colloquially known as Saint-Ex), author of the astonishingly beautiful 'Wind, Sand and Stars' and 'Night Flight,' was an aviator and writer. He began his career in the French Air Force in the 1920s, went on to become a mail pilot in both the Sahara and the Andes, flew reconnaissance planes back in France during the German invasion of France in 1940, he escaped the Nazis. After 27 months of writing and speaking in North America, he returned to North Africa with an American military convoy. Once there, he flew a modified P-38 with the Free French Air Force in support of operations in and around the Mediterranean (overage for flight duties at the time, he petitioned for a waiver all the way to General Eisenhower). He met his end in 1944, disappearing while piloting a recon flight in preparation for the invasion of southern France. Saint-Ex was a legendary pilot, a respected and famous writer, and a hell of a guy.Saint-Ex published 'Flight to Arras' in 1942, during his sojourn in the U.S. The novel reads like the memoir of one pilot's reconnaissance mission during the Nazi invasion of France, and it has all the action one might expect from a wartime novel. But that isn't what makes it special. What makes it special is Saint-Ex's beautiful prose (translated by Lewis Galantière) and his ruminations on duty, combat, France, fellowship, and the natures both of Man and Mankind. This is the kind of book that makes the reader feel s/he is in communion with its author, sharing his most deeply felt external and internal observations. For those of us fortunate enough to fly for a living, it's also the kind of book that makes us feel like we're right there in the cockpit with him, every detail impulse true to the intellectual and emotional cast of the professional aviator.On a related note, this particular edition reminded me why I love print media. I checked this out on an interlibrary loan through my local public library, and was astounded to find that it was a first edition. The paper, with its uneven edging, was thick and luxurious to the touch. The volume smelled like an old book. I got the sense of a treasure, waiting patiently for me for nearly eighty years. When I opened it, Saint-Ex lived again through the communion of author and reader, transcending life and death to form the timeless intellectual and emotional bond that shines as the highest aspiration of art.This isn't just a beautiful book. It's the kind of book that reminds us why we invented writing in the first place. It's a treasure.Recommended for: aviators and aviation enthusiasts, WWII enthusiasts, avid readers of all sorts.","it was amazing"
