"","libro","autore","data","recensione","stelle"
"1","8842.Night_Flight","Luís","Jul 03, 2020","Night Flight is a novel that made the famous Antoine de Saint-Exupéry. He realizes in this novel an authentic tribute to the pilots of Aéropostale. I had a hard time hanging in the beginning; it took me a long time before going back into history entirely and understanding all the subtlety. The pilots showed a lot of courage and motivation during the night postage period in the 1930s. The author does not merely recount the lives of drivers in their cockpits. It goes further by focusing on the lives of the ""close"" drivers to show us, by example, the despair of a woman who no longer sees his husband. I found this tribute highly remarkable and fair. The writing is poetic and haunting. Rivière is a man who seems sturdy, but he is, in fact, a sensitive heart who cares about his employees. Some descriptions were too detailed, but the story did not become monotonous. The aviation adventure is magical, marvellous and utterly unforgettable.","really liked it"
"2","8842.Night_Flight","Kim","Jan 03, 2015","St Exupéry's short but intense tribute to the pilots of Aéropostale is poetic, moving and suspenseful. I re-read many sentences and paragraphs, struck by their emotional impact and beautiful imagery. This is a novel that I'm particularly glad to have read in French rather than in translation. If you've ever wanted to know what flying a 1920s plane in a storm in South America was like, then this is the book to read. Based on St-Exupéry's own experiences, the fact that he disappeared while flying a reconnaissance mission for the Free French Air Force in 1944 makes the reading experience particularly poignant. ","really liked it"
"3","8842.Night_Flight","Mmars","Jul 29, 2013","Review on translation by Stuart Gilbert. Looking for a particular translation of the Little Prince, I found myself in the library ""Stacks"" section of old, rarely checked out books. There, two other books by Saint-Exupery (do surnames like that still exist?) attracted me through their first lines. I was entranced. What exquisite writing! And like the index of poetry, each chapter of Night Flight is headed on a lead-in page by its first line. The book begins, with Fabian, the pilot silently observing, ""Already, beneath him through the golden evening, the shadowed hills had dug their furrows and the plains grew luminous with long-enduring light. "" The mood is set. Day is ending and night will soon settle in. The calm before the storm. Within two pages, the story is shadowed with foreboding through thought, description and word choice.Why use dreadnought in a metaphor? (I had to look it up and it's quite likely the only word in the English language that refers to both a battleship and a large bodied acoustic guitar.) But then the word dread is used two or three more times in the book. Like reading poetry the text is clearly littered with words associated with literal darkness and the metaphorical dark areas of the human soul. Each character is a solitary, soldiering through the night, set upon a mission to get the mail through. The year is 1930, the planes are primitive, the communication is the wireless telegram. The heroes are the pilots, at the mercy of both nature and the heirachy of the mail service - namely the inspector and the commanding chief. These two men are afflicted and absorbed by their professions, in a sense blinded to the lives of the pilots. This all sets up for a very melancholy, yet beautifully written, read. A fantastic storm blankets the inner continent and Fabian, in flight from Patagonia to Buenes Aires, becomes lost. Saint-Exupery writes from experience, and it shows. He miraculousloy survived several crashes, but flying was his love, and he never returned from his last flight. A rather creepy thing to know as you read this book. It's almost as if he wrote it from the dead. ","it was amazing"
"4","8842.Night_Flight","Edita","Jun 24, 2011","Now, a watchman from the heart of night, he learnt how night betrays man's presence, his voices, lights, and his unrest. That star down there in the shadows, alone; a lonely house. Yonder a fading star; that house is closing in upon its love. . . . Or on its lassitude. A house that has ceased to flash its signal to the world. Gathered round their lamp-lit table, those peasants do not know the measure of their hopes; they do not guess that their desire carries so far, out into the vastness of the night that hems them in. But Fabien has met it on his path, when, coming from a thousand miles away, he feels the heavy ground-swell raise his panting plane and let it sink, when he has crossed a dozen storms like lands at war, between them neutral tracts of moonlight, to reach at last those lights, one following the other — and knows himself a conqueror. They think, these peasants, that their lamp shines only for that little table; but, from fifty miles away, some one has felt the summons of their light, as though it were a desperate signal from some lonely island, flashed by shipwrecked men toward the sea.*He might keep up the struggle, chance his luck; no destiny attacks us from outside. But, within him, man bears his fate and there comes a moment when he knows himself vulnerable; and then, as in a vertigo, blunder upon blunder lures him.And, at this very moment, there gleamed above his head, across a storm-rift, like a fatal lure within a deep abyss, a star or two.Only too well he knew them for a trap. A man sees a few stars at the issue of a pit and climbs toward them, and then—never can he get down again but stays up there eternally, chewing the stars. . . .But such was his lust for light that he began to climb. ","it was amazing"
"5","8842.Night_Flight","Brian","Mar 19, 2017","A beautifully penned short novel, an elegy as eulogy - as if de Saint-Exupéry was writing the book that would foreshadow his own mortal struggle with metal, wind and altitude. The enemy isn't the Luftwaffe, it's nature's sinister insouciance - far more frightening than another mortal intent on one's personal destruction.
  We do not pray for immortality, but only to see our acts and all things stripped suddenly of all their meaning; for then it is the utter emptiness of everything reveals itself.
","really liked it"
"6","8842.Night_Flight","Hana","Aug 24, 2014","Five stars for the original French edition, a scant three stars for the 1931 English translation by Stuart Gilbert.It is 1930. South America. As a golden day turns into night, three planes are bound for an air field in Buenos Aires carrying mail from Chile, Paraguay and Patagonia. At the airfield office, the manager and ground crew wait. Across the continent, a vast cyclonic storm system is building. The story of this night flight is told from several points of view: the pilot bound north from Patagonia on the longest and most hazardous route and the onboard radio operator who is filled with foreboding; on the ground in Buenos Aires, a timorous bureaucratic functionary and another pilot waiting to carry the mail on to Europe. Every hour counts, each one widening the company’s slender time advantage over rail and sea. At the heart of the story and in the eye of the storm stands Rivière, the manager of this continent-wide venture and the main character. Rivière is a hard man, even a brutal one, who can goad a pilot into facing his fears or whip a ground crew to super-human efforts, all to keep the planes and pilots safely aloft for another few hours.But tonight Rivière is bedeviled with doubts, feeling his age, second guessing his decisions. Rivière is not a likable character but he is at times admirable and as a study in a kind of leadership that is sometimes needed but has fallen out of favor, he is superb.I read this novella in the original French, simultaneously with a 1932 English translation by Stuart Gilbert that I used as a sort of oil can and spare tire every time my rusty, rickety French ground to a halt. I am so glad that I persevered with the original.The rhythm of the language is extraordinary. There are densely poetic passages that take us sweeping across the vast, empty steppes where only a few lights twinkle in the night, or that fly us into the towering cloud walls of a terrible storm. Then, abruptly, the poetry is pushed aside, elbowed out of the way by sharp, spare prose as impatient men force their way through the night, doing impossible jobs with too little gasoline, too little information, too little time...too little time! The dialog is even harsher: raw staccato sentences that rip across the page. It’s potent, heart-pounding stuff, but alas only in the original.Let me give you a taste of why I rate this book five stars in French, but only three stars in the Stuart Gilbert translation.In a flashback, Rivière is firing an old mechanic, a veteran who is guilty of a single error and must be made ‘an example’. The man pleads desperately for the job that is his life, the core of his identity. Rivière's response is curt, implacable:- Je vous ai dit: je vous offre une place de manoeuvre.- Ma dignité, Monsieur, ma dignité! Voyons, Monsieur, vingt ans d'aviation ...- De manoeuvre.- Je refuse, Monsieur, je refuse! And here is how the same passage is rendered in English:“I told you you could have a job as a fitter.”“But there’s my good name, sir, my name…after twenty years’ experience…”“As fitter.”“No, sir, I can’t see my way to that. I somehow can’t, sir!”An Englishman might have said that last line, but never this proud, anguished French-Argentine mechanic. I suspect most of the negative reviews are from readers who only read the Gilbert translation and they are not wrong, but if you can read the original even as haltingly as I did you’ll find it terrific. Content rating: Perfectly clean language in both English and French, no sex, no physical violence. A first fly-over for the South American leg of my Around-the World challenge.","it was amazing"
"7","8842.Night_Flight","Jim","Dec 08, 2013","
            
This is the third time I have read Night Flight. Each time it hits me in the gut the same way. (That's why I keep re-reading it.) Since the last time I read it, I have been to Patagonia twice and understand the truth of this short novel even more. I have flown between Buenos Aires and Trelew, all the way south to Ushuaia and El Calafate. Patagonia is a windy, sparsely populated land with towns few and far between. I could have taken the bus, but even on Argentina's good roads, it would have take
  This is the third time I have read Night Flight. Each time it hits me in the gut the same way. (That's why I keep re-reading it.) Since the last time I read it, I have been to Patagonia twice and understand the truth of this short novel even more. I have flown between Buenos Aires and Trelew, all the way south to Ushuaia and El Calafate. Patagonia is a windy, sparsely populated land with towns few and far between. I could have taken the bus, but even on Argentina's good roads, it would have taken days. Night Flight is mostly seen from the point of view of Rivière who initiated and supervises the night mail flights across the southern half of South America and from Buenos Aires to Europe. After all, how much can one write about a fragile 1920s-vintage prop plane that exhausts its fuel trying to go through a rare cyclone that has crossed over the Andes and occupied a 1,000-km-long storm front from Comodoro Rivadavia to San Antonio Areco? Radio to Buenos Aires: blocked on all sides, storm developing thousand kilometre front, visibility nil. What should we do?The plane sails off into the void -- offscreen. We never see what finally happens, whether over sea or land. At one point, the clouds clear and Fabien, the pilot, sees a sight few mortals descry:He was wandering through a dense treasure-hoard of stars, in a world where nothing, absolutely nothing else but he, Fabien, and his companion [the radio operator], were alive. Similar to those thieves of fabled cities, immured within the treasure-chambers from which there is no escape. Amid the frozen gems they wander, infinitely rich yet doomed.On the basis of this scene alone, Antoine de Saint-Exupéry is a great writer. 
  ...more

          ","it was amazing"
"8","8842.Night_Flight","Liz Janet","Dec 18, 2014","Antoine de Saint-Exupéry, why did you die so young? This of course is not his best, it was only his second published work and it needed to be polished. Yet he gave such beauty to his writing, such an artist he was. This piece of art deals with much else he wrote, flight and airplanes. And he uses such a simple thing to convey if long-term goals (and money) are more important than a human life, and it is left to us to choose which side is our own, while him making it seem he chooses human life. ""Et Rivière, à pas lents, retourne à son travail, parmi lessecrétaires que courbe son regard dur. Rivière-le-Grand, Rivièrele-Victorieux,qui porte sa lourde victoire. ""(And Rivière, slowly, back to work, among the Secretaries curved his hard gaze. Rivière-the-Grand, Rivièrele-Victorious, bringing his heavy victory.) MORE LIKE Rivière-LE-SCUM. ","really liked it"
"9","8842.Night_Flight","Quiet","Feb 14, 2016","Extremely small book that is rather infuriating as only at its end does the form really open up, the meat of the book come to be ready, and the heart of its characters show. This being caused by the novel's brevity, the skill of the translation, or the efforts of author Exupery, I do not know--- but it is not enjoyable.This is a very early novel about aviation. Following the mail routes in South America, which Exupery himself flew in the 20's, the story is the title; a 'Night Flight.' Why this is engaging is that, in the 20's, airplanes were extremely limited in comparison to today, and, particular to this story, is that their limitations were at their highest in regards flying at night, which was essentially blind flying and peeking for moonlight portraits of the land ahead.But Night Flight doesn't really get going. This is such a small book, and its size is not used intelligently. Largely the novel is divided between two characters, Fabien the pilot, and Riviere the air-traffic boss. While they don't contest each other, ultimately they are the sole characters of importance. Riviere begins to doubt his sending Fabien out on a night flight (into storms, no less), and Fabien must wrestle with his craft or die.But! these things are barely touched. Not until the very end does Exupery really provide intimate details of airplanes or the science of flying (and this only little), nor does the character Riviere undergo any significant change until the last, last pages when the result of the novel is (mostly) clear.Just not enjoyable until the end, and there's not enough of that to really justify it. If you're looking for a good novel, or a good book on early aviation, then this will be a disappointment. EDIT:This book has been bothering me all night; kept re-reading passages, looking for something that would alight it some. For whatever reason I just wanted, from the moment I started this book, to really love this story---The novel remains weak, but I did just go ahead and watch the 1933 film version of this book; infinitely superior, and does the story far more justice, creating both a more consistent narrative as well as a far more passionate display of not only flight, but character as well.The book remains rather poor, but if you're looking to enjoy some early aviation narrative, the film version of 'Night Flight' is the place to be.","it was ok"
"10","8842.Night_Flight","sophia","Dec 27, 2019","dear antoine de saint-exupery, i understand that you'll never receive this letter. in the 20th century, your plane disappeared, never to be found until the beginning of the next millennium when you were long-gone. it shows that despite all the previous plane crashes you survived, such as in the sahara desert, you were not immortal. you, like your character  the little prince  were destined to someday fall. yet somehow everything you composed within your lifetime had such a strange magic to it. perhaps your aviation was the reason that you saw the stars differently and more clearly than anyone else. you saw them laughing at midnight.  night flight  took a cast of characters on one mission and made them  more,  it made them sky sailors, soldiers, dreamers. and somehow, in this short novel, i was also transported to the world of early 20th century night mail pilots. i too saw the stars laughing, being unable to reach them yet somehow connected to them in a way i never expected to be. in summary, you, saint-ex, were a genius.  and perhaps if you were not such a jerk to your wife, you would be an angel.  i hope that you're in your own planet somewhere, laughing and making sure it doesn't get invaded by baobab trees.sincerely,sophia","it was amazing"
